pitchwheel channel=1 pitch=0 time=5
pitchwheel channel=8 pitch=0 time=5
pitchwheel channel=3 pitch=0 time=5
pitchwheel channel=4 pitch=0 time=5
pitchwheel channel=6 pitch=0 time=5
pitchwheel channel=7 pitch=0 time=5
pitchwheel channel=9 pitch=0 time=5
pitchwheel channel=2 pitch=0 time=5
pitchwheel channel=10 pitch=0 time=0
pitchwheel channel=5 pitch=0 time=0
note_on channel=8 note=48 velocity=98 time=422
note_on channel=10 note=48 velocity=64 time=0
note_on channel=8 note=55 velocity=100 time=11
note_on channel=10 note=55 velocity=66 time=0
note_off channel=8 note=48 velocity=0 time=31
note_off channel=10 note=48 velocity=0 time=0
note_off channel=8 note=55 velocity=0 time=16
note_off channel=10 note=55 velocity=0 time=0
note_on channel=8 note=48 velocity=115 time=182
note_on channel=10 note=48 velocity=81 time=0
note_on channel=8 note=55 velocity=100 time=11
note_on channel=10 note=55 velocity=66 time=0
note_off channel=8 note=48 velocity=0 time=34
note_off channel=10 note=48 velocity=0 time=0
note_off channel=8 note=55 velocity=0 time=5
note_off channel=10 note=55 velocity=0 time=0
note_on channel=8 note=48 velocity=83 time=190
note_on channel=10 note=48 velocity=49 time=0
note_on channel=8 note=55 velocity=87 time=11
note_on channel=10 note=55 velocity=53 time=0
note_off channel=8 note=48 velocity=0 time=22
note_off channel=10 note=48 velocity=0 time=0
note_off channel=8 note=55 velocity=0 time=12
note_off channel=10 note=55 velocity=0 time=0
note_on channel=8 note=48 velocity=102 time=195
note_on channel=10 note=48 velocity=68 time=0
note_on channel=8 note=55 velocity=87 time=11
note_on channel=10 note=55 velocity=53 time=0
note_off channel=8 note=48 velocity=0 time=29
note_off channel=10 note=48 velocity=0 time=0
note_off channel=8 note=55 velocity=0 time=12
note_off channel=10 note=55 velocity=0 time=0
note_on channel=8 note=48 velocity=87 time=188
note_on channel=10 note=48 velocity=53 time=0
note_on channel=8 note=55 velocity=75 time=11
note_on channel=10 note=55 velocity=41 time=0
note_off channel=8 note=48 velocity=0 time=27
note_off channel=10 note=48 velocity=0 time=0
note_off channel=8 note=55 velocity=0 time=11
note_off channel=10 note=55 velocity=0 time=0
note_on channel=8 note=48 velocity=110 time=191
note_on channel=10 note=48 velocity=76 time=0
note_on channel=8 note=55 velocity=87 time=11
note_on channel=10 note=55 velocity=53 time=0
note_off channel=8 note=48 velocity=0 time=34
note_off channel=10 note=48 velocity=0 time=0
note_off channel=8 note=55 velocity=0 time=9
note_off channel=10 note=55 velocity=0 time=0
note_on channel=8 note=48 velocity=115 time=186
note_on channel=10 note=48 velocity=81 time=0
note_on channel=8 note=55 velocity=95 time=11
note_on channel=10 note=55 velocity=61 time=0
note_off channel=8 note=48 velocity=0 time=34
note_off channel=10 note=48 velocity=0 time=0
note_off channel=8 note=55 velocity=0 time=5
note_off channel=10 note=55 velocity=0 time=0
note_on channel=8 note=48 velocity=115 time=190
note_on channel=10 note=48 velocity=81 time=0
note_on channel=8 note=55 velocity=87 time=11
note_on channel=10 note=55 velocity=53 time=0
note_off channel=8 note=48 velocity=0 time=35
note_off channel=10 note=48 velocity=0 time=0
note_off channel=8 note=55 velocity=0 time=3
note_off channel=10 note=55 velocity=0 time=0
note_on channel=8 note=48 velocity=102 time=191
note_on channel=10 note=48 velocity=64 time=0
note_on channel=8 note=55 velocity=80 time=11
note_on channel=10 note=55 velocity=66 time=0
note_off channel=10 note=48 velocity=0 time=31
note_off channel=8 note=55 velocity=0 time=2
note_off channel=8 note=48 velocity=0 time=1
note_off channel=10 note=55 velocity=0 time=13
note_on channel=8 note=48 velocity=110 time=182
note_on channel=10 note=48 velocity=81 time=0
note_on channel=8 note=55 velocity=91 time=11
note_on channel=10 note=55 velocity=66 time=0
note_off channel=10 note=48 velocity=0 time=34
note_off channel=8 note=48 velocity=0 time=2
note_off channel=10 note=55 velocity=0 time=3
note_off channel=8 note=55 velocity=0 time=5
note_on channel=8 note=48 velocity=110 time=185
note_on channel=10 note=48 velocity=49 time=0
note_on channel=8 note=55 velocity=91 time=11
note_on channel=10 note=55 velocity=53 time=0
note_off channel=10 note=48 velocity=0 time=22
note_off channel=8 note=48 velocity=0 time=11
note_off channel=10 note=55 velocity=0 time=1
note_off channel=8 note=55 velocity=0 time=2
note_on channel=8 note=48 velocity=115 time=193
note_on channel=10 note=48 velocity=68 time=0
note_on channel=8 note=55 velocity=87 time=11
note_on channel=10 note=55 velocity=53 time=0
note_off channel=10 note=48 velocity=0 time=29
