pitchwheel channel=15 pitch=0 time=48
pitchwheel channel=9 pitch=0 time=0
note_on channel=9 note=42 velocity=87 time=868
note_on channel=9 note=42 velocity=0 time=86
note_on channel=9 note=42 velocity=75 time=394
note_on channel=9 note=42 velocity=0 time=93
note_on channel=9 note=42 velocity=87 time=387
note_on channel=9 note=42 velocity=0 time=86
note_on channel=9 note=42 velocity=75 time=394
note_on channel=9 note=42 velocity=0 time=93
note_on channel=2 note=45 velocity=67 time=387
note_on channel=2 note=52 velocity=67 time=0
note_on channel=2 note=57 velocity=67 time=0
note_on channel=2 note=61 velocity=67 time=120
note_on channel=2 note=64 velocity=71 time=52
note_on channel=2 note=61 velocity=0 time=17
note_on channel=2 note=57 velocity=0 time=49
note_on channel=2 note=61 velocity=71 time=54
note_on channel=2 note=64 velocity=0 time=11
note_on channel=2 note=61 velocity=0 time=101
note_on channel=2 note=57 velocity=69 time=8
note_on channel=2 note=61 velocity=70 time=120
note_on channel=2 note=61 velocity=0 time=118
note_on channel=2 note=64 velocity=65 time=2
note_on channel=2 note=57 velocity=0 time=4
note_on channel=2 note=61 velocity=70 time=116
note_on channel=2 note=64 velocity=0 time=17
note_on channel=2 note=61 velocity=0 time=96
note_on channel=2 note=57 velocity=71 time=7
note_on channel=2 note=61 velocity=70 time=120
note_on channel=2 note=61 velocity=0 time=108
note_on channel=2 note=64 velocity=67 time=12
note_on channel=2 note=57 velocity=0 time=53
note_on channel=2 note=61 velocity=70 time=67
note_on channel=2 note=64 velocity=0 time=10
note_on channel=2 note=61 velocity=0 time=101
note_on channel=2 note=57 velocity=69 time=9
note_on channel=2 note=61 velocity=70 time=120
note_on channel=2 note=45 velocity=0 time=89
note_on channel=2 note=57 velocity=0 time=8
note_on channel=2 note=61 velocity=0 time=9
note_on channel=2 note=64 velocity=65 time=14
note_on channel=2 note=52 velocity=0 time=2
note_on channel=2 note=64 velocity=0 time=101
note_on channel=2 note=61 velocity=68 time=17
note_on channel=2 note=61 velocity=0 time=82
note_on channel=2 note=44 velocity=71 time=38
note_on channel=2 note=52 velocity=71 time=0
note_on channel=2 note=56 velocity=71 time=0
note_on channel=2 note=61 velocity=65 time=108
note_on channel=2 note=61 velocity=0 time=80
note_on channel=2 note=64 velocity=71 time=0
note_on channel=2 note=61 velocity=65 time=120
note_on channel=2 note=64 velocity=0 time=6
note_on channel=2 note=56 velocity=0 time=0
note_on channel=2 note=61 velocity=0 time=107
note_on channel=2 note=56 velocity=72 time=7
note_on channel=2 note=61 velocity=69 time=120
note_on channel=2 note=61 velocity=0 time=103
note_on channel=2 note=64 velocity=69 time=17
note_on channel=2 note=56 velocity=0 time=25
note_on channel=2 note=61 velocity=68 time=95
note_on channel=2 note=64 velocity=0 time=2
note_on channel=2 note=61 velocity=0 time=106
note_on channel=2 note=56 velocity=70 time=12
note_on channel=2 note=61 velocity=68 time=120
note_on channel=2 note=61 velocity=0 time=106
note_on channel=2 note=64 velocity=71 time=14
note_on channel=2 note=56 velocity=0 time=45
note_on channel=2 note=61 velocity=66 time=75
note_on channel=2 note=64 velocity=0 time=17
note_on channel=2 note=61 velocity=0 time=85
note_on channel=2 note=56 velocity=72 time=18
note_on channel=2 note=61 velocity=68 time=120
note_on channel=2 note=61 velocity=0 time=94
note_on channel=2 note=64 velocity=71 time=26
note_on channel=2 note=44 velocity=0 time=28
note_on channel=2 note=52 velocity=0 time=31
note_on channel=2 note=56 velocity=0 time=21
note_on channel=2 note=61 velocity=67 time=40
note_on channel=2 note=64 velocity=0 time=9
note_on channel=2 note=61 velocity=0 time=90
note_on channel=2 note=42 velocity=72 time=21
note_on channel=2 note=49 velocity=72 time=0
note_on channel=2 note=54 velocity=72 time=0
note_on channel=2 note=61 velocity=68 time=91
note_on channel=2 note=61 velocity=0 time=19
note_on channel=2 note=66 velocity=75 time=45
note_on channel=2 note=54 velocity=0 time=54
note_on channel=2 note=61 velocity=75 time=66
note_on channel=2 note=66 velocity=0 time=2
note_on channel=2 note=61 velocity=0 time=108
note_on channel=2 note=54 velocity=75 time=10
note_on channel=2 note=61 velocity=73 time=120
note_on channel=2 note=54 velocity=0 time=22
note_on channel=2 note=66 velocity=68 time=98
note_on channel=2 note=61 velocity=0 time=14
note_on channel=2 note=61 velocity=69 time=106
note_on channel=2 note=66 velocity=0 time=15
note_on channel=2 note=61 velocity=0 time=99
note_on channel=2 note=54 velocity=68 time=6
note_on channel=2 note=61 velocity=68 time=120
note_on channel=2 note=54 velocity=0 time=22
note_on channel=2 note=61 velocity=0 time=90
note_on channel=2 note=66 velocity=68 time=8
note_on channel=2 note=61 velocity=73 time=120
note_on channel=2 note=66 velocity=0 time=9
note_on channel=2 note=61 velocity=0 time=84
note_on channel=2 note=54 velocity=73 time=27
note_on channel=2 note=61 velocity=75 time=120
note_on channel=2 note=49 velocity=0 time=82
note_on channel=2 note=61 velocity=0 time=1
note_on channel=2 note=42 velocity=0 time=10
note_on channel=2 note=66 velocity=75 time=27
note_on channel=2 note=54 velocity=0 time=47
note_on channel=2 note=61 velocity=78 time=73
note_on channel=2 note=66 velocity=0 time=7
note_on channel=2 note=61 velocity=0 time=107
note_on channel=2 note=38 velocity=76 time=6
note_on channel=2 note=45 velocity=76 time=0
note_on channel=2 note=50 velocity=76 time=0
note_on channel=2 note=57 velocity=76 time=0
note_on channel=2 note=62 velocity=75 time=102
note_on channel=2 note=66 velocity=74 time=67
note_on channel=2 note=62 velocity=0 time=25
note_on channel=2 note=57 velocity=0 time=95
note_on channel=2 note=62 velocity=74 time=0
note_on channel=2 note=66 velocity=0 time=6
note_on channel=2 note=57 velocity=75 time=114
note_on channel=2 note=62 velocity=0 time=3
note_on channel=2 note=62 velocity=79 time=117
note_on channel=2 note=57 velocity=0 time=118
note_on channel=2 note=66 velocity=76 time=2
note_on channel=2 note=62 velocity=0 time=10
note_on channel=2 note=62 velocity=76 time=110
note_on channel=2 note=66 velocity=0 time=9
note_on channel=2 note=62 velocity=0 time=101
note_on channel=2 note=57 velocity=76 time=10
note_on channel=2 note=62 velocity=76 time=120
note_on channel=2 note=57 velocity=0 time=15
note_on channel=2 note=62 velocity=0 time=95
note_on channel=2 note=66 velocity=75 time=10
note_on channel=2 note=62 velocity=75 time=120
note_on channel=2 note=66 velocity=0 time=9
pitchwheel channel=3 pitch=-4329 time=104
pitchwheel channel=3 pitch=-4174 time=2
note_on channel=2 note=62 velocity=0 time=5
note_on channel=2 note=57 velocity=72 time=0
note_on channel=3 note=76 velocity=90 time=0
pitchwheel channel=3 pitch=-4174 time=11
pitchwheel channel=3 pitch=-4174 time=7
pitchwheel channel=3 pitch=-4019 time=4
pitchwheel channel=3 pitch=-4019 time=2
pitchwheel channel=3 pitch=-4019 time=6
pitchwheel channel=3 pitch=-3865 time=4
pitchwheel channel=3 pitch=-3865 time=1
pitchwheel channel=3 pitch=-3865 time=3
pitchwheel channel=3 pitch=-3865 time=3
pitchwheel channel=3 pitch=-3710 time=1
pitchwheel channel=3 pitch=-3710 time=3
pitchwheel channel=3 pitch=-3710 time=3
pitchwheel channel=3 pitch=-3556 time=2
pitchwheel channel=3 pitch=-3556 time=1
pitchwheel channel=3 pitch=-3556 time=4
pitchwheel channel=3 pitch=-3401 time=1
pitchwheel channel=3 pitch=-3401 time=2
pitchwheel channel=3 pitch=-3401 time=2
pitchwheel channel=3 pitch=-3247 time=3
pitchwheel channel=3 pitch=-3247 time=0
pitchwheel channel=3 pitch=-3247 time=2
pitchwheel channel=3 pitch=-3092 time=3
pitchwheel channel=3 pitch=-3092 time=0
pitchwheel channel=3 pitch=-3092 time=2
pitchwheel channel=3 pitch=-3092 time=2
pitchwheel channel=3 pitch=-2938 time=2
pitchwheel channel=3 pitch=-2938 time=1
pitchwheel channel=3 pitch=-2938 time=2
pitchwheel channel=3 pitch=-2783 time=1
pitchwheel channel=3 pitch=-2783 time=1
pitchwheel channel=3 pitch=-2783 time=1
pitchwheel channel=3 pitch=-2628 time=3
pitchwheel channel=3 pitch=-2628 time=0
pitchwheel channel=3 pitch=-2628 time=2
pitchwheel channel=3 pitch=-2474 time=2
pitchwheel channel=3 pitch=-2474 time=0
pitchwheel channel=3 pitch=-2474 time=1
pitchwheel channel=3 pitch=-2474 time=2
pitchwheel channel=3 pitch=-2319 time=1
pitchwheel channel=3 pitch=-2319 time=1
pitchwheel channel=3 pitch=-2319 time=1
pitchwheel channel=3 pitch=-2165 time=2
pitchwheel channel=3 pitch=-2165 time=0
pitchwheel channel=3 pitch=-2165 time=2
pitchwheel channel=3 pitch=-2010 time=2
pitchwheel channel=3 pitch=-2010 time=0
pitchwheel channel=3 pitch=-2010 time=1
pitchwheel channel=3 pitch=-2010 time=2
pitchwheel channel=3 pitch=-1856 time=1
pitchwheel channel=3 pitch=-1856 time=1
pitchwheel channel=3 pitch=-1856 time=1
pitchwheel channel=3 pitch=-1701 time=1
pitchwheel channel=3 pitch=-1701 time=1
pitchwheel channel=3 pitch=-1701 time=2
pitchwheel channel=3 pitch=-1547 time=1
pitchwheel channel=3 pitch=-1547 time=0
pitchwheel channel=3 pitch=-1547 time=2
pitchwheel channel=3 pitch=-1392 time=2
pitchwheel channel=3 pitch=-1392 time=0
pitchwheel channel=3 pitch=-1392 time=1
pitchwheel channel=3 pitch=-1237 time=2
pitchwheel channel=3 pitch=-1237 time=0
pitchwheel channel=3 pitch=-1237 time=2
note_on channel=2 note=62 velocity=71 time=1
pitchwheel channel=3 pitch=-1083 time=0
pitchwheel channel=3 pitch=-1083 time=0
pitchwheel channel=3 pitch=-928 time=2
pitchwheel channel=3 pitch=-928 time=1
pitchwheel channel=3 pitch=-928 time=1
pitchwheel channel=3 pitch=-774 time=1
pitchwheel channel=3 pitch=-774 time=1
pitchwheel channel=3 pitch=-774 time=1
pitchwheel channel=3 pitch=-1 time=2
note_on channel=2 note=57 velocity=0 time=15
note_on channel=2 note=62 velocity=0 time=82
note_on channel=2 note=66 velocity=69 time=14
note_on channel=2 note=66 velocity=0 time=116
note_on channel=2 note=62 velocity=68 time=4
note_on channel=2 note=38 velocity=0 time=27
note_on channel=2 note=50 velocity=0 time=5
note_on channel=2 note=45 velocity=0 time=0
note_on channel=2 note=62 velocity=0 time=27
note_on channel=2 note=45 velocity=78 time=9
note_on channel=2 note=52 velocity=78 time=0
note_on channel=2 note=57 velocity=78 time=0
note_on channel=2 note=61 velocity=72 time=120
note_on channel=3 note=76 velocity=0 time=48
note_on channel=2 note=64 velocity=76 time=0
note_on channel=3 note=73 velocity=86 time=0
note_on channel=2 note=61 velocity=0 time=17
note_on channel=2 note=57 velocity=0 time=49
note_on channel=2 note=61 velocity=76 time=54
note_on channel=2 note=64 velocity=0 time=11
note_on channel=2 note=61 velocity=0 time=101
note_on channel=2 note=57 velocity=74 time=8
note_on channel=2 note=61 velocity=75 time=120
note_on channel=2 note=61 velocity=0 time=118
note_on channel=2 note=64 velocity=70 time=2
note_on channel=2 note=57 velocity=0 time=4
note_on channel=2 note=61 velocity=75 time=116
note_on channel=2 note=64 velocity=0 time=17
note_on channel=2 note=61 velocity=0 time=96
note_on channel=3 note=73 velocity=0 time=3
note_on channel=2 note=57 velocity=76 time=4
